From	To
ATOX1_HUMAN	ATOX1
ATP23_HUMAN	ATP23
ATP5E_HUMAN	ATP5F1E
ATP5H_HUMAN	ATP5PD
ATP5I_HUMAN	ATP5ME
ATP5L_HUMAN	ATP5MG
ATP5S_HUMAN	DMAC2L
ATP6_HUMAN	MT-ATP6
ATP8_HUMAN	MT-ATP8
ATPA_HUMAN	ATP5F1A
ATPB_HUMAN	ATP5F1B
ATPD_HUMAN	ATP5F1D
ATPF1_HUMAN	ATPAF1
ATPF2_HUMAN	ATPAF2
ATPG_HUMAN	ATP5F1C
ATPK_HUMAN	ATP5MF
ATPO_HUMAN	ATP5PO
ATRN_HUMAN	ATRN
ATX10_HUMAN	ATXN10
ATX2_HUMAN	ATXN2
ATX2L_HUMAN	ATXN2L
AUHM_HUMAN	AUH
AUP1_HUMAN	AUP1
AVEN_HUMAN	AVEN
B2CL1_HUMAN	BCL2L1
B2L13_HUMAN	BCL2L13
B2MG_HUMAN	B2M
B3A2_HUMAN	SLC4A2
B3AT_HUMAN	SLC4A1
B4GA1_HUMAN	B4GAT1
BACH_HUMAN	ACOT7
BAF_HUMAN	BANF1
BAG2_HUMAN	BAG2
BAG3_HUMAN	BAG3
BAG4_HUMAN	BAG4
BAG5_HUMAN	BAG5
BAG6_HUMAN	BAG6
BAK_HUMAN	BAK1
BAP29_HUMAN	BCAP29
BAP31_HUMAN	BCAP31
BASI_HUMAN	BSG
BAX_HUMAN	BAX
BCAM_HUMAN	BCAM
BCAR1_HUMAN	BCAR1
BCAT2_HUMAN	BCAT2
BCCIP_HUMAN	BCCIP
BCDO2_HUMAN	BCO2
BCKD_HUMAN	BCKDK
BCLF1_HUMAN	BCLAF1
BCS1_HUMAN	BCS1L
BD1L1_HUMAN	BOD1L1
BDH_HUMAN	BDH1
BGH3_HUMAN	TGFBI
BGLR_HUMAN	GUSB
BI1_HUMAN	TMBIM6
BICD2_HUMAN	BICD2
BIEA_HUMAN	BLVRA
BIG2_HUMAN	ARFGEF2
BIN1_HUMAN	BIN1
BIN3_HUMAN	BIN3
BIRC2_HUMAN	BIRC2
BIRC6_HUMAN	BIRC6
BIVM_HUMAN	BIVM
BLMH_HUMAN	BLMH
BLVRB_HUMAN	BLVRB
BMP2K_HUMAN	BMP2K
BOP1_HUMAN	BOP1
BORG4_HUMAN	CDC42EP4
BPHL_HUMAN	BPHL
BPI_HUMAN	BPI
BPIA1_HUMAN	BPIFA1
BPIB1_HUMAN	BPIFB1
BPL1_HUMAN	HLCS
BPNT1_HUMAN	BPNT1
BRCC3_HUMAN	BRCC3
BRD3_HUMAN	BRD3
BRD4_HUMAN	BRD4
BRI3B_HUMAN	BRI3BP
BRK1_HUMAN	BRK1
BROX_HUMAN	BROX
BST1_HUMAN	BST1
BST2_HUMAN	BST2
BT2A1_HUMAN	BTN2A1
BT3L4_HUMAN	BTF3L4
BTD_HUMAN	BTD
BTF3_HUMAN	BTF3
BUB3_HUMAN	BUB3
BUD31_HUMAN	BUD31
C10_HUMAN	C12orf57
C1QB_HUMAN	C1QB
C1QBP_HUMAN	C1QBP
C1QC_HUMAN	C1QC
C1R_HUMAN	C1R
C1RL_HUMAN	C1RL
C1S_HUMAN	C1S
C1TC_HUMAN	MTHFD1
C2D1A_HUMAN	CC2D1A
C2D1B_HUMAN	CC2D1B
C4BPA_HUMAN	C4BPA
C4BPB_HUMAN	C4BPB
C560_HUMAN	SDHC
CA198_HUMAN	C1orf198
CA2D1_HUMAN	CACNA2D1
CAB39_HUMAN	CAB39
CAC1S_HUMAN	CACNA1S
CACB1_HUMAN	CACNB1
CACO1_HUMAN	CALCOCO1
CACO2_HUMAN	CALCOCO2
CACP_HUMAN	CRAT
CAD13_HUMAN	CDH13
CAD15_HUMAN	CDH15
CADH5_HUMAN	CDH5
CAF17_HUMAN	IBA57
CAH1_HUMAN	CA1
CAH2_HUMAN	CA2
CAH3_HUMAN	CA3
CAH4_HUMAN	CA4
CALD1_HUMAN	CALD1
CALR_HUMAN	CALR
CALU_HUMAN	CALU
CALX_HUMAN	CANX
CAMLG_HUMAN	CAMLG
CAMP1_HUMAN	CAMSAP1
CAN1_HUMAN	CAPN1
CAN2_HUMAN	CAPN2
CAN3_HUMAN	CAPN3
CAN5_HUMAN	CAPN5
CAN7_HUMAN	CAPN7
CANB1_HUMAN	PPP3R1
CAND1_HUMAN	CAND1
CAND2_HUMAN	CAND2
CAP1_HUMAN	CAP1
CAP2_HUMAN	CAP2
CAP7_HUMAN	AZU1
CAPR1_HUMAN	CAPRIN1
CAPZB_HUMAN	CAPZB
CAR11_HUMAN	CARD11
CAR19_HUMAN	CARD19
CARD8_HUMAN	CARD8
CARF_HUMAN	CDKN2AIP
CARM1_HUMAN	CARM1
CASP3_HUMAN	CASP3
CASQ1_HUMAN	CASQ1
CASQ2_HUMAN	CASQ2
CATA_HUMAN	CAT
CATB_HUMAN	CTSB
CATC_HUMAN	CTSC
CATD_HUMAN	CTSD
CATH_HUMAN	CTSH
CATZ_HUMAN	CTSZ
CAV1_HUMAN	CAV1
CAV2_HUMAN	CAV2
CAV3_HUMAN	CAV3
CAZA1_HUMAN	CAPZA1
CAZA2_HUMAN	CAPZA2
CB069_HUMAN	C2orf69
CB39L_HUMAN	CAB39L
CBG_HUMAN	SERPINA6
CBPA3_HUMAN	CPA3
CBPB2_HUMAN	CPB2
CBPC4_HUMAN	AGBL1
CBPN_HUMAN	CPN1
CBR1_HUMAN	CBR1
CBR4_HUMAN	CBR4
CBX1_HUMAN	CBX1
CBX3_HUMAN	CBX3
CC124_HUMAN	CCDC124
CC127_HUMAN	CCDC127
CC134_HUMAN	CCDC134
CC28B_HUMAN	CCDC28B
CC50A_HUMAN	TMEM30A
CCAR2_HUMAN	CCAR2
CCD12_HUMAN	CCDC12
CCD22_HUMAN	CCDC22
CCD25_HUMAN	CCDC25
CCD43_HUMAN	CCDC43
CCD47_HUMAN	CCDC47
CCD50_HUMAN	CCDC50
CCD92_HUMAN	CCDC92
CCD93_HUMAN	CCDC93
CCDC6_HUMAN	CCDC6
CCDC9_HUMAN	CCDC9
CCG1_HUMAN	CACNG1
CCHL_HUMAN	HCCS
CCND3_HUMAN	CCND3
CCS_HUMAN	CCS
CCZ1_HUMAN	CCZ1
CD109_HUMAN	CD109
CD11B_HUMAN	CDK11B
CD14_HUMAN	CD14
CD2AP_HUMAN	CD2AP
CD34_HUMAN	CD34
CD36_HUMAN	CD36
CD38_HUMAN	CD38
CD47_HUMAN	CD47
CD59_HUMAN	CD59
CD81_HUMAN	CD81
CD9_HUMAN	CD9
CD99_HUMAN	CD99
CDC16_HUMAN	CDC16
CDC37_HUMAN	CDC37
CDC42_HUMAN	CDC42
CDC5L_HUMAN	CDC5L
CDIPT_HUMAN	CDIPT
CDK16_HUMAN	CDK16
CDK5_HUMAN	CDK5
CDN1B_HUMAN	CDKN1B
CDNF_HUMAN	CDNF
CDON_HUMAN	CDON
CDS2_HUMAN	CDS2
CDV3_HUMAN	CDV3
CE128_HUMAN	CEP128
CE170_HUMAN	CEP170
CENPV_HUMAN	CENPV
CEP68_HUMAN	CEP68
CEP85_HUMAN	CEP85
CEPT1_HUMAN	CEPT1
CERU_HUMAN	CP
CETN2_HUMAN	CETN2
CETP_HUMAN	CETP
CF120_HUMAN	C6orf120
CFAB_HUMAN	CFB
CFAH_HUMAN	CFH
CFAI_HUMAN	CFI
CG050_HUMAN	C7orf50
CGRE1_HUMAN	CGREF1
CH082_HUMAN	C8orf82
CH10_HUMAN	HSPE1
CH60_HUMAN	HSPD1
CHAC2_HUMAN	CHAC2
CHCH2_HUMAN	CHCHD2
CHD4_HUMAN	CHD4
CHDH_HUMAN	CHDH
CHID1_HUMAN	CHID1
CHIP_HUMAN	STUB1
CHLE_HUMAN	BCHE
CHM1A_HUMAN	CHMP1A
CHM1B_HUMAN	CHMP1B
CHM2A_HUMAN	CHMP2A
CHM2B_HUMAN	CHMP2B
CHM4A_HUMAN	CHMP4A
CHM4B_HUMAN	CHMP4B
CHMP3_HUMAN	CHMP3
CHMP5_HUMAN	CHMP5
CHMP6_HUMAN	CHMP6
CHMP7_HUMAN	CHMP7
CHP1_HUMAN	CHP1
CHRD1_HUMAN	CHORDC1
CHSP1_HUMAN	CARHSP1
CHTOP_HUMAN	CHTOP
CIA30_HUMAN	NDUFAF1
CILP1_HUMAN	CILP
CIP4_HUMAN	TRIP10
CIRBP_HUMAN	CIRBP
CISD1_HUMAN	CISD1
CISD2_HUMAN	CISD2
CISY_HUMAN	CS
CK054_HUMAN	C11orf54
CK068_HUMAN	C11orf68
CK5P3_HUMAN	CDK5RAP3
CKAP4_HUMAN	CKAP4
CKAP5_HUMAN	CKAP5
CLAP1_HUMAN	CLASP1
CLAP2_HUMAN	CLASP2
CLCB_HUMAN	CLTB
CLCC1_HUMAN	CLCC1
CLCN1_HUMAN	CLCN1
CLH1_HUMAN	CLTC
CLH2_HUMAN	CLTCL1
CLIC1_HUMAN	CLIC1
CLIC2_HUMAN	CLIC2
CLIC4_HUMAN	CLIC4
CLIC5_HUMAN	CLIC5
CLIP1_HUMAN	CLIP1
CLPB_HUMAN	CLPB
CLPP_HUMAN	CLPP
CLPT1_HUMAN	CLPTM1
CLPX_HUMAN	CLPX
CLU_HUMAN	CLUH
CLUS_HUMAN	CLU
CLYBL_HUMAN	CLYBL
CMA1_HUMAN	CMA1
CMBL_HUMAN	CMBL
CMPK2_HUMAN	CMPK2
CMTD1_HUMAN	COMTD1
CMYA5_HUMAN	CMYA5
CN37_HUMAN	CNP
CNBP_HUMAN	CNBP
CNDP2_HUMAN	CNDP2
CNIH4_HUMAN	CNIH4
CNN1_HUMAN	CNN1
CNN3_HUMAN	CNN3
CNO10_HUMAN	CNOT10
CNO11_HUMAN	CNOT11
CNOT1_HUMAN	CNOT1
CNOT4_HUMAN	CNOT4
CNPY2_HUMAN	CNPY2
CNRP1_HUMAN	CNRIP1
CO1A1_HUMAN	COL1A1
CO1A2_HUMAN	COL1A2
CO2_HUMAN	C2
CO3_HUMAN	C3
CO3A1_HUMAN	COL3A1
CO4A_HUMAN	C4A
CO4A1_HUMAN	COL4A1
CO4A2_HUMAN	COL4A2
CO4B_HUMAN	C4B
CO4B_HUMAN	C4B_2
CO5_HUMAN	C5
CO5A1_HUMAN	COL5A1
CO5A3_HUMAN	COL5A3
CO6_HUMAN	C6
CO6A1_HUMAN	COL6A1
CO6A2_HUMAN	COL6A2
CO6A3_HUMAN	COL6A3
CO6A6_HUMAN	COL6A6
CO7_HUMAN	C7
CO8A_HUMAN	C8A
CO8B_HUMAN	C8B
CO8G_HUMAN	C8G
CO9_HUMAN	C9
COA3_HUMAN	COA3
COA6_HUMAN	COA6
COASY_HUMAN	COASY
COBL_HUMAN	COBL
COCA1_HUMAN	COL12A1
COEA1_HUMAN	COL14A1
COF1_HUMAN	CFL1
COF2_HUMAN	CFL2
COFA1_HUMAN	COL15A1
COG1_HUMAN	COG1
COG2_HUMAN	COG2
COG4_HUMAN	COG4
COG5_HUMAN	COG5
COG7_HUMAN	COG7
COGA1_HUMAN	COL16A1
COIA1_HUMAN	COL18A1
COIL_HUMAN	COIL
COMD2_HUMAN	COMMD2
COMD3_HUMAN	COMMD3
COMD4_HUMAN	COMMD4
COMD6_HUMAN	COMMD6
COMDA_HUMAN	COMMD10
COMT_HUMAN	COMT
COPA_HUMAN	COPA
COPB_HUMAN	COPB1
COPB2_HUMAN	COPB2
COPD_HUMAN	ARCN1
COPE_HUMAN	COPE
COPG1_HUMAN	COPG1
COPG2_HUMAN	COPG2
COPZ1_HUMAN	COPZ1
COPZ2_HUMAN	COPZ2
COQ3_HUMAN	COQ3
COQ5_HUMAN	COQ5
COQ6_HUMAN	COQ6
COQ7_HUMAN	COQ7
COQ9_HUMAN	COQ9
COR1A_HUMAN	CORO1A
COR1B_HUMAN	CORO1B
COR1C_HUMAN	CORO1C
CORO6_HUMAN	CORO6
CORO7_HUMAN	CORO7
COTL1_HUMAN	COTL1
COX1_HUMAN	MT-CO1
COX11_HUMAN	COX11
COX16_HUMAN	COX16
COX17_HUMAN	COX17
COX19_HUMAN	COX19
COX2_HUMAN	MT-CO2
COX20_HUMAN	COX20
COX3_HUMAN	MT-CO3
COX41_HUMAN	COX4I1
COX5A_HUMAN	COX5A
COX5B_HUMAN	COX5B
COX6C_HUMAN	COX6C
COX7C_HUMAN	COX7C
COX7R_HUMAN	COX7A2L
COXM1_HUMAN	CMC1
CP131_HUMAN	CEP131
CPEB3_HUMAN	CPEB3
CPIN1_HUMAN	CIAPIN1
CPN2_HUMAN	CPN2
CPNE1_HUMAN	CPNE1
CPNE2_HUMAN	CPNE2
CPNE3_HUMAN	CPNE3
CPNS1_HUMAN	CAPNS1
CPPED_HUMAN	CPPED1
CPSF1_HUMAN	CPSF1
CPSF5_HUMAN	NUDT21
CPSF6_HUMAN	CPSF6
CPT1A_HUMAN	CPT1A
CPT1B_HUMAN	CPT1B
CPT2_HUMAN	CPT2
CPVL_HUMAN	CPVL
CPZIP_HUMAN	RCSD1
CQ10A_HUMAN	COQ10A
CQ10B_HUMAN	COQ10B
CR025_HUMAN	C18orf25
CRAC1_HUMAN	CRTAC1
CRADD_HUMAN	CRADD
CRBN_HUMAN	CRBN
CRCM1_HUMAN	ORAI1
CRIP1_HUMAN	CRIP1
CRIP2_HUMAN	CRIP2
CRK_HUMAN	CRK
CRKL_HUMAN	CRKL
CRLF3_HUMAN	CRLF3
CRNS1_HUMAN	CARNS1
CRYAB_HUMAN	CRYAB
CRYL1_HUMAN	CRYL1
CRYM_HUMAN	CRYM
CS012_HUMAN	C19orf12
CSCL2_HUMAN	TMEM63B
CSDE1_HUMAN	CSDE1
CSF1R_HUMAN	CSF1R
CSK_HUMAN	CSK
CSK21_HUMAN	CSNK2A1
CSK22_HUMAN	CSNK2A2
CSK2B_HUMAN	CSNK2B
CSMT1_HUMAN	CCSMST1
CSN1_HUMAN	GPS1
CSN2_HUMAN	COPS2
CSN3_HUMAN	COPS3
CSN4_HUMAN	COPS4
CSN5_HUMAN	COPS5
CSN6_HUMAN	COPS6
CSN7A_HUMAN	COPS7A
CSN7B_HUMAN	COPS7B
CSN8_HUMAN	COPS8
CSPG2_HUMAN	VCAN
CSPG4_HUMAN	CSPG4
CSRP1_HUMAN	CSRP1
CSRP3_HUMAN	CSRP3
CSTF3_HUMAN	CSTF3
CSTFT_HUMAN	CSTF2T
CT027_HUMAN	C20orf27
CTBL1_HUMAN	CTNNBL1
CTBP1_HUMAN	CTBP1
CTF1_HUMAN	CTF1
CTIF_HUMAN	CTIF
CTL2_HUMAN	SLC44A2
CTNA1_HUMAN	CTNNA1
CTNA3_HUMAN	CTNNA3
CTNB1_HUMAN	CTNNB1
CTND1_HUMAN	CTNND1
CUL1_HUMAN	CUL1
CUL2_HUMAN	CUL2
CUL3_HUMAN	CUL3
CUL4A_HUMAN	CUL4A
CUL4B_HUMAN	CUL4B
CUL5_HUMAN	CUL5
CUTA_HUMAN	CUTA
CUTC_HUMAN	CUTC
CWC22_HUMAN	CWC22
CWC27_HUMAN	CWC27
CX6A2_HUMAN	COX6A2
CXCL7_HUMAN	PPBP
CY1_HUMAN	CYC1
CY24B_HUMAN	CYBB
CYB5_HUMAN	CYB5A
CYB5B_HUMAN	CYB5B
CYBP_HUMAN	CACYBP
CYC_HUMAN	CYCS
CYFP1_HUMAN	CYFIP1
CYGB_HUMAN	CYGB
CYH1_HUMAN	CYTH1
CYTB_HUMAN	CSTB
CYTC_HUMAN	CST3
CYTM1_HUMAN	CYSTM1
CYTSA_HUMAN	SPECC1L
