From	To
NDUS2_HUMAN	NDUFS2
COX5B_HUMAN	COX5B
CAV1_HUMAN	CAV1
ACADV_HUMAN	ACADVL
IDHP_HUMAN	IDH2
ATPK_HUMAN	ATP5MF
FABP5_HUMAN	FABP5
NDUA4_HUMAN	NDUFA4
NDUB9_HUMAN	NDUFB9
NDUA2_HUMAN	NDUFA2
NCOR2_HUMAN	NCOR2
PRDX6_HUMAN	PRDX6
GDIR1_HUMAN	ARHGDIA
NDUS1_HUMAN	NDUFS1
ALDOA_HUMAN	ALDOA
MGST3_HUMAN	MGST3
MYH3_HUMAN	MYH3
UCRI_HUMAN	UQCRFS1
PCCB_HUMAN	PCCB
COX6C_HUMAN	COX6C
LC7L3_HUMAN	LUC7L3
ATPA_HUMAN	ATP5F1A
NDUA5_HUMAN	NDUFA5
SNX3_HUMAN	SNX3
GPD1L_HUMAN	GPD1L
FIBG_HUMAN	FGG
DJC25_HUMAN	DNAJC25
PTMS_HUMAN	PTMS
ACS2L_HUMAN	ACSS1
KAD1_HUMAN	AK1
KCC2D_HUMAN	CAMK2D
PRAF3_HUMAN	ARL6IP5
ARHL1_HUMAN	ADPRHL1
GP158_HUMAN	GPR158
ODP2_HUMAN	DLAT
RS7_HUMAN	RPS7
SPB12_HUMAN	SERPINB12
TATD1_HUMAN	TATDN1
AATC_HUMAN	GOT1
CX6B1_HUMAN	COX6B1
MYOM2_HUMAN	MYOM2
LDHB_HUMAN	LDHB
ETFB_HUMAN	ETFB
K1C9_HUMAN	KRT9
GSTP1_HUMAN	GSTP1
1433G_HUMAN	YWHAG
TBA1C_HUMAN	TUBA1C
DHPR_HUMAN	QDPR
KCRS_HUMAN	CKMT2
STRBP_HUMAN	STRBP
DHE3_HUMAN	GLUD1
GRHPR_HUMAN	GRHPR
MYOM3_HUMAN	MYOM3
NPY6R_HUMAN	NPY6R
AFG32_HUMAN	AFG3L2
MT1E_HUMAN	MT1E
NDUS8_HUMAN	NDUFS8
EF1A2_HUMAN	EEF1A2
ICAL_HUMAN	CAST
ATP5H_HUMAN	ATP5PD
PRS6A_HUMAN	PSMC3
XIRP1_HUMAN	XIRP1
PCBP1_HUMAN	PCBP1
KAP0_HUMAN	PRKAR1A
FAAA_HUMAN	FAH
ACTH_HUMAN	ACTG2
ODPB_HUMAN	PDHB
A1AT_HUMAN	SERPINA1
NTF2_HUMAN	NUTF2
K22E_HUMAN	KRT2
VTNC_HUMAN	VTN
SPG7_HUMAN	SPG7
NDUV2_HUMAN	NDUFV2
PRDX5_HUMAN	PRDX5
HBG2_HUMAN	HBG2
HNRPK_HUMAN	HNRNPK
THIM_HUMAN	ACAA2
ANKR2_HUMAN	ANKRD2
ACBP_HUMAN	DBI
CK054_HUMAN	C11orf54
HXK1_HUMAN	HK1
TPP1_HUMAN	TPP1
STK4_HUMAN	STK4
APOA1_HUMAN	APOA1
KAP2_HUMAN	PRKAR2A
TRAP1_HUMAN	TRAP1
RINI_HUMAN	RNH1
AIFM1_HUMAN	AIFM1
EFTU_HUMAN	TUFM
PAPOG_HUMAN	PAPOLG
RL30_HUMAN	RPL30
MCCB_HUMAN	MCCC2
CPT1B_HUMAN	CPT1B
ODPA_HUMAN	PDHA1
SUCB1_HUMAN	SUCLA2
NDUS6_HUMAN	NDUFS6
FIBB_HUMAN	FGB
PCBP2_HUMAN	PCBP2
2AAA_HUMAN	PPP2R1A
ERC6L_HUMAN	ERCC6L
DCXR_HUMAN	DCXR
CAD13_HUMAN	CDH13
SRCA_HUMAN	SRL
NIT2_HUMAN	NIT2
G3P_HUMAN	GAPDH
MYH1_HUMAN	MYH1
MYH13_HUMAN	MYH13
MYL1_HUMAN	MYL1
CISY_HUMAN	CS
TGM2_HUMAN	TGM2
SMYD1_HUMAN	SMYD1
SPB6_HUMAN	SERPINB6
HPT_HUMAN	HP
FLNC_HUMAN	FLNC
