From	To
FA9_HUMAN	F9
FAAA_HUMAN	FAH
FABP4_HUMAN	FABP4
FABP5_HUMAN	FABP5
FABPH_HUMAN	FABP3
FAHD1_HUMAN	FAHD1
FAIM1_HUMAN	FAIM
FAM9C_HUMAN	FAM9C
FANCJ_HUMAN	BRIP1
FARP2_HUMAN	FARP2
FB5L3_HUMAN	FABP5P3
FBP12_HUMAN	FABP12
FBRS_HUMAN	FBRS
FBX3_HUMAN	FBXO3
FBX40_HUMAN	FBXO40
FBX44_HUMAN	FBXO44
FBX8_HUMAN	FBXO8
FBXL3_HUMAN	FBXL3
FCAMR_HUMAN	FCAMR
FDFT_HUMAN	FDFT1
FEM1B_HUMAN	FEM1B
FETUA_HUMAN	AHSG
FHL1_HUMAN	FHL1
FHL2_HUMAN	FHL2
FHL3_HUMAN	FHL3
FIBB_HUMAN	FGB
FIBG_HUMAN	FGG
FIP1_HUMAN	FIP1L1
FKB1A_HUMAN	FKBP1A
FLNC_HUMAN	FLNC
FMO5_HUMAN	FMO5
FMOD_HUMAN	FMOD
FNBP1_HUMAN	FNBP1
FOXC1_HUMAN	FOXC1
FOXE1_HUMAN	FOXE1
FOXK2_HUMAN	FOXK2
FRDA_HUMAN	FXN
FSIP1_HUMAN	FSIP1
FUBP3_HUMAN	FUBP3
FUMH_HUMAN	FH
FUT4_HUMAN	FUT4
FXYD5_HUMAN	FXYD5
G3P_HUMAN	GAPDH
G6PD_HUMAN	G6PD
G6PI_HUMAN	GPI
GAK5_HUMAN	ERVK-5
GALT8_HUMAN	GALNT8
GATM_HUMAN	GATM
GBP6_HUMAN	GBP6
GCC1_HUMAN	GCC1
GCSH_HUMAN	GCSH
GDAP1_HUMAN	GDAP1
GDE_HUMAN	AGL
GDF1_HUMAN	GDF1
GDIA_HUMAN	GDI1
GDIB_HUMAN	GDI2
GDIR1_HUMAN	ARHGDIA
GDPP1_HUMAN	GDPGP1
GDS1_HUMAN	RAP1GDS1
GELS_HUMAN	GSN
GFAP_HUMAN	GFAP
GG6L2_HUMAN	GOLGA6L2
GGCT_HUMAN	GGCT
GGTL1_HUMAN	GGTLC1
GIPC2_HUMAN	GIPC2
GIPC3_HUMAN	GIPC3
GL6D1_HUMAN	GLT6D1
GLE1_HUMAN	GLE1
GLGB_HUMAN	GBE1
GLMN_HUMAN	GLMN
GLRX1_HUMAN	GLRX
GLRX5_HUMAN	GLRX5
GLU2B_HUMAN	PRKCSH
GLYG_HUMAN	GYG1
GMPPB_HUMAN	GMPPB
GNA12_HUMAN	GNA12
GNA13_HUMAN	GNA13
GNAT1_HUMAN	GNAT1
GNAT2_HUMAN	GNAT2
GNAT3_HUMAN	GNAT3
GOLI_HUMAN	RNF130
GON1_HUMAN	GNRH1
GOPC_HUMAN	GOPC
GP158_HUMAN	GPR158
GPD1L_HUMAN	GPD1L
GPX3_HUMAN	GPX3
GRAM_HUMAN	GZMM
GRCR1_HUMAN	GRXCR1
GRDN_HUMAN	CCDC88A
GRHPR_HUMAN	GRHPR
GRIN2_HUMAN	GPRIN2
GRP75_HUMAN	HSPA9
GRPE1_HUMAN	GRPEL1
GRPR_HUMAN	GRPR
GSDMB_HUMAN	GSDMB
GSE1_HUMAN	GSE1
GSHR_HUMAN	GSR
GSTK1_HUMAN	GSTK1
GSTM2_HUMAN	GSTM2
GSTM3_HUMAN	GSTM3
GSTM5_HUMAN	GSTM5
