entrez_gene	rgd_gene	gene_symbol
292759	1309456	Sars2
290551	735166	Chdh
691814	1594654	Mrpl57
362946	1359663	MGC94207
361641	1307904	Ears2
680021	1308851	Grhpr
315763	1309462	Mtfmt
310025	1310308	Ptcd2
361465	1359654	Echdc1
307491	1308426	Hars2
681024	1584719	Ndufa4
100911483	6492821	Ndufa13
295229	1304699	Naxe
303196	1309817	Tmem11
315216	1311907	Selenoo
303563	1565783	Nags
79244	621806	Hsd17b4
298748	1311578	Ndufaf7
64313	621724	Oat
362517	1308008	Mrpl50
303393	727789	Cox7b
297969	1305419	Rars2
103693495	1590060	Oxld1
297768	1307876	Lactb2
301123	1303292	Ndufa11
298687	1303211	Aurkaip1
684258	1592689	Chchd7
299857	1308582	Shmt2
680308	1311313	Mthfd2
500419	1563085	Rmdn1
497840	2395	Cps1
301250	1306240	Mrpl14
683897	1597785	LOC683897
361504	1304959	Rdh13
503462	1565132	Trmt2b
498406	1306014	Mrps24
498000	1564337	Coa3
116686	621747	Gsr
362100	1310763	Endog
64203	68948	Bcat2
287554	1306595	Tefm
619561	1562656	Acsf2
362976	1311229	Trmu
683519	1585674	Mrps22
289668	1307985	Lap3
24399	2708	Glud1
79238	620554	Hmgcl
60398	620448	Fhit
296995	1309217	Mrps33
299008	1307232	Nubpl
690354	1597334	Lyrm2
100362572	2324483	Mpv17l
288916	1309249	Gadd45gip1
83474	620682	Tfam
361755	1311431	Aldh18a1
289934	1311092	Oxsm
541589	1359262	Kyat3
310672	1308283	Tars2
360977	1309737	Tbrg4
500874	1563224	Tmem65
679572	1587111	Romo1
113898	71007	Prdx5
290370	1307154	Dnajc15
301418	1303159	Maip1
140937	620215	Higd1a
497874	1565784	RGD1565784
287156	727970	Rhot2
365841	1307244	Slc25a44
84029	70972	Hao2
691393	1585024	Oxa1l
291709	1305072	Slc25a46
500629	1565196	Rdh14
100360056	2322889	Atp5mpl
302669	1549783	Ca5b
287711	1549767	Coasy
287661	1559720	Cisd3
681913	1589363	Gstz1
654441	1591896	Cox6b2
363644	1307010	Glod4
24157	67379	Acaa1a
83842	70908	Crot
690214	1582894	Pdf
304330	1305631	Cox19
306586	1359408	Amt
307852	1308307	Pdpr
117041	621518	Nln
365875	1310586	Bola1
25748	2084	Alas2
688777	1585231	Grpel2
291450	1308614	Aldh7a1
312680	1306557	Hdhd5
27100	61845	Gfer
100359529	2323665	Immp2l
84683	69422	Cox4i2
684304	1591507	Mrpl39
29416	2948	Aadat
361288	1560916	Fundc2
25514	3025	Lypla1
117098	620095	Pdha2
361473	1598312	Mtrf1l
290633	1305367	Gtpbp3
305248	1310879	Mthfd2l
114217	620764	Yme1l1
192272	621055	Acot2
299341	1304719	Coa8
687861	1596242	Mmab
289219	1310543	Ppox
25270	2007	Abcd3
293615	1308374	Sirt3
307858	1308107	Ldhd
287656	1304913	Mrpl45
498179	1563482	RGD1563482
691145	1587441	Immp1l
85472	620057	Polg
313510	1305417	Atpaf1
288785	1307564	Bloc1s1
299699	1309458	Aldh1l2
289522	1559547	Cox18
304024	1311817	Cpox
310378	1587346	Nnt
690871	1590963	Ndufaf8
299828	1588587	Atp23
360639	1359211	Dcakd
690441	1596067	Atp5mf
65042	620716	Sfxn3
296925	1310811	Aass
288753	1310885	Diablo
360229	727840	Cox8c
29533	61812	Pxmp2
83784	621767	Agxt2
192268	620359	Gls2
363474	1565289	Apoo
315973	1306270	Acad11
100174910	2299854	LOC100174910
293949	1310475	Hoga1
691506	1582808	Ttc19
499191	1583734	Ngrn
363169	1560717	Tcaim
171133	619946	Gcsh
306840	1303285	Sirt5
307759	1305462	Gpt2
681123	1583567	Tomm6
360721	1590883	Fam162a
140669	71077	Abcb6
246233	628701	Macrod1
25274	3913	Tst
26195	621871	Mt-co1
298549	1305453	Mtfr1l
361044	1309307	Sdr39u1
245961	620453	Dmgdh
85263	621433	Slc25a14
690253	1582858	Prelid3a
296147	1307809	Chchd5
304017	1303049	Tomm70
289222	727821	Nit1
302980	1304560	Fahd1
294560	1589771	Mcu
301517	727915	Cyp27a1
26194	620556	Mt-nd2
26201	620559	Mt-nd4
26202	620560	Mt-nd5
307480	735029	Dele1
311112	1563531	Fastkd1
290850	1307668	Mrps31
64392	621294	Aldh1l1
171155	620513	Hadhb
362586	1304781	Trit1
366196	1311037	Crls1
684314	1591498	Glyctk
315023	1565789	Slc25a32
301254	1310617	Aars2
301062	1304628	Exog
316643	1309819	Chchd2
59113	620610	Kmo
261737	628706	Sfxn5
282826	628882	Elac2
24404	2729	Gpx1
25756	2397	Cpt1b
288584	1306668	Fis1
290995	1308082	Prelid1
25708	3933	Ucp3
85262	620787	Slc25a27
296813	1308774	Slc25a40
301113	1588586	Slc25a23
300989	1308293	Hemk1
501039	1591928	Slc25a36
298282	1304821	Oma1
361169	1311220	Letm2
290234	1359172	Dhrs1
296655	1305109	Stom
502632	1566062	Mettl5
29447	70979	Msra
361692	1309040	Nudt8
363118	1309140	Nmnat3
301067	1311914	Slc25a38
290645	1308064	Mpv17l2
24159	2018	Acly
84356	69244	Abcd2
751787	1593292	Flad1
316342	1310276	Lipt1
362769	1311756	Dglucy
361042	1311112	Pck2
365699	1306809	Nadk2
