 Name,Label,sex,Group,,CT,CT_ Mean,CT_ SD,Delta_CT,Delta_CT_mean,Delta_CT_SE,Level,Fold,Tissue
Mito DLoop,90225,M,8w,29,15.27817249,15.26832962,0.013919924,-10.51361179,-10.4503355,0.063276291,1399.150561,1.457737634,SKM-GN
Mito DLoop,90227,M,8w,30,15.07011318,15.06873894,0.001942801,-10.32518864,-10.39182281,0.066633701,1343.539307,1.399797753,SKM-GN
MitoDLoop,90245,F,Ctrl,1,15.13966274,15.07082939,0.097345732,-11.74590206,-11.77698898,0.031087399,3509.352088,0.994544116,SKM-VL
MitoDLoop,90248,F,Ctrl,2,15.25691032,15.30813789,0.072447397,-11.68901062,-11.80769539,0.118685246,3584.845901,1.015938927,SKM-VL
MitoDLoop,90252,F,Ctrl,3,15.21587753,15.19767189,0.025745992,-11.77877426,-11.7847538,0.005979061,3528.290905,0.999911343,SKM-VL
MitoDLoop,90265,F,Ctrl,4,14.91600227,14.9216423,0.007976207,-12.06337929,-11.95646667,0.106912613,3974.249344,1.126295168,SKM-VL
MitoDLoop,90266,F,Ctrl,5,15.92331696,15.8689518,0.076883942,-11.58698082,-11.57283306,0.014147758,3046.28047,0.863310446,SKM-VL
MitoDLoop,90217,M,Ctrl,6,15.59736729,15.64046955,0.060955808,-11.4707098,-11.39131069,0.079399109,2686.124934,0.838640118,SKM-VL
MitoDLoop,90229,M,Ctrl,7,15.6660614,15.70972919,0.061755586,-11.58430099,-11.55058289,0.033718109,2999.6592,0.936529241,SKM-VL
MitoDLoop,90232,M,Ctrl,8,16.16021729,16.15212822,0.011439666,-11.45088577,-11.45812702,0.007241249,2813.454705,0.878393986,SKM-VL
MitoDLoop,90237,M,Ctrl,9,15.22779942,15.11294556,0.162427217,-11.78749752,-11.89889526,0.11139822,3818.777804,1.192267801,SKM-VL
MitoDLoop,90239,M,Ctrl,10,15.48553658,15.49702263,0.016243057,-11.850811,-11.85204124,0.001229763,3696.748663,1.154168854,SKM-VL
MitoDLoop,90559,F,1w,11,14.94545269,14.9304924,0.021157043,-11.60106754,-11.61290169,0.011834145,3132.072055,0.887623628,SKM-VL
MitoDLoop,90560,F,1w,12,15.28640556,15.37636948,0.127228186,-11.76230812,-11.71073341,0.051574707,3351.830347,0.949902736,SKM-VL
MitoDLoop,90564,F,1w,13,15.31026649,15.27368546,0.051734075,-11.51794815,-11.5976963,0.079748631,3099.234716,0.878317585,SKM-VL
MitoDLoop,90567,F,1w,14,15.24212742,15.28885078,0.066076145,-11.65809345,-11.55392265,0.104171276,3006.611306,0.852068276,SKM-VL
MitoDLoop,90571,F,1w,15,15.15686798,15.13558769,0.030094873,-11.34931183,-11.42605114,0.076739311,2751.592551,0.779796416,SKM-VL
MitoDLoop,90421,M,1w,16,15.43033695,15.50344181,0.103385881,-11.85923481,-11.84558201,0.013652802,3680.234571,1.149012958,SKM-VL
MitoDLoop,90422,M,1w,17,15.37907028,15.32471848,0.076864384,-11.42881584,-11.48665237,0.057836056,2869.636677,0.895934665,SKM-VL
MitoDLoop,90423,M,1w,18,15.01146221,15.02614498,0.020764573,-11.7668581,-11.83784294,0.07098484,3660.545499,1.142865796,SKM-VL
MitoDLoop,90426,M,1w,19,15.71148109,15.94315529,0.327636778,-11.2917347,-11.37292862,0.081193924,2652.116839,0.828022387,SKM-VL
MitoDLoop,90430,M,1w,20,15.14602661,15.28275871,0.19336772,-11.86329651,-11.74730492,0.115992069,3437.88344,1.073348056,SKM-VL
MitoDLoop,90251,F,8w,21,14.80943775,14.8526783,0.061150692,-12.2006979,-12.10668564,0.094012737,4410.375077,1.249892422,SKM-VL
MitoDLoop,90254,F,8w,22,14.78061867,14.82086468,0.056916453,-12.32619858,-12.34453297,0.018334389,5200.854516,1.473912884,SKM-VL
MitoDLoop,90258,F,8w,23,14.49591827,14.52467728,0.040671371,-12.42767334,-12.41560459,0.012068748,5463.480487,1.548340615,SKM-VL
MitoDLoop,90259,F,8w,24,15.03470516,15.0292778,0.007675447,-12.02083492,-12.07492161,0.054086685,4314.332368,1.22267409,SKM-VL
MitoDLoop,90267,F,8w,25,14.79946423,14.83031559,0.043630417,-12.12926579,-12.14824295,0.018977165,4539.264847,1.286419553,SKM-VL
MitoDLoop,90218,M,8w,26,15.18132401,15.22704506,0.064658657,-12.25831795,-12.14225197,0.116065502,4520.454033,1.411339457,SKM-VL
MitoDLoop,90222,M,8w,27,15.29154301,15.33797836,0.065668836,-11.69092846,-11.64591599,0.045011997,3204.572035,1.000505463,SKM-VL
MitoDLoop,90223,M,8w,28,14.81234741,14.82486725,0.017705722,-12.14458275,-12.11012268,0.034460068,4420.894775,1.380255873,SKM-VL
MitoDLoop,90225,M,8w,29,14.93146133,14.82919502,0.144627079,-11.95993996,-12.03437805,0.074437618,4194.775982,1.3096589,SKM-VL
MitoDLoop,90227,M,8w,30,14.92958069,14.93070602,0.001590791,-11.73377991,-11.87391281,0.140133381,3753.219137,1.171799607,SKM-VL
MitoDLoop,90245,F,Ctrl,1,17.88847923,17.86413956,0.0344215,-10.40428352,-10.36913967,0.035143852,1322.580363,1.118218179,LIVER
MitoDLoop,90248,F,Ctrl,2,16.49846077,16.53819656,0.056193549,-10.31548882,-10.41052723,0.095038414,1361.071583,1.150761821,LIVER
MitoDLoop,90252,F,Ctrl,3,17.75093079,17.78694725,0.05093497,-9.905618668,-9.938651085,0.033032417,981.3684528,0.829729576,LIVER
MitoDLoop,90265,F,Ctrl,4,17.84019279,17.83545303,0.006704384,-10.17417336,-10.16624546,0.007927895,1149.06561,0.971514541,LIVER
MitoDLoop,90266,F,Ctrl,5,17.82152748,17.84526634,0.033571821,-10.1442318,-10.10289288,0.041338921,1099.69892,0.929775882,LIVER
MitoDLoop,90217,M,Ctrl,6,17.44862747,17.47290039,0.03432709,-10.23965645,-10.22203827,0.017618179,1194.373436,1.130170702,LIVER
MitoDLoop,90229,M,Ctrl,7,17.21821976,17.22909164,0.015373821,-10.17926216,-10.09724045,0.082021713,1095.398768,1.03651635,LIVER
MitoDLoop,90232,M,Ctrl,8,17.15928078,17.16637802,0.010037019,-9.639326096,-9.717134476,0.07780838,841.6837627,0.796439623,LIVER
MitoDLoop,90237,M,Ctrl,9,17.42147636,17.44065094,0.027116945,-9.964208603,-9.961919785,0.002288818,997.3249171,0.943714393,LIVER
MitoDLoop,90239,M,Ctrl,10,17.06904793,17.0593586,0.013702784,-10.19395447,-10.17400074,0.019953728,1155.259101,1.093158932,LIVER
MitoDLoop,90559,F,1w,11,17.84714127,17.86117554,0.019848805,-10.31728554,-10.26060104,0.056684494,1226.729157,1.037177689,LIVER
MitoDLoop,90560,F,1w,12,16.43843842,16.47584915,0.05290677,-10.48435593,-10.46883392,0.015522003,1417.206157,1.198222606,LIVER
MitoDLoop,90564,F,1w,13,19.40825844,19.3783741,0.042262837,-11.12225914,-11.13866901,0.016409874,2254.620674,1.906241689,LIVER
MitoDLoop,90567,F,1w,14,17.35433769,17.36697197,0.017867567,-10.12528992,-10.10186768,0.023422241,1098.917736,0.929115405,LIVER
MitoDLoop,90571,F,1w,15,16.64901733,16.59688187,0.073729336,-10.067276,-10.21393108,0.146655083,1187.68051,1.004162753,LIVER
MitoDLoop,90421,M,1w,16,17.9594574,18.00711632,0.067399889,-9.922859192,-9.882354736,0.040504456,943.8113667,0.893077427,LIVER
MitoDLoop,90422,M,1w,17,17.7462883,17.77417374,0.039435964,-9.823272705,-9.798938751,0.024333954,890.7882705,0.842904551,LIVER
MitoDLoop,90423,M,1w,18,17.87378502,17.89300537,0.027181683,-10.42667961,-10.45086288,0.024183273,1399.662119,1.324424231,LIVER
MitoDLoop,90426,M,1w,19,18.77733421,18.79301453,0.022173963,-10.42538834,-10.52278328,0.097394943,1471.205721,1.392122055,LIVER
MitoDLoop,90430,M,1w,20,18.28652191,18.27050018,0.022656797,-10.54927444,-10.51854324,0.030731201,1466.88824,1.388036658,LIVER
MitoDLoop,90251,F,8w,21,17.06653595,17.0836525,0.024205104,-10.44151878,-10.33866978,0.102849007,1294.940214,1.094848925,LIVER
MitoDLoop,90254,F,8w,22,17.46292305,17.41237259,0.071489148,-10.17892838,-10.2600584,0.081130028,1226.267834,1.036787649,LIVER
MitoDLoop,90258,F,8w,23,17.16729164,17.22247505,0.078041129,-10.46896935,-10.37219143,0.096777916,1325.381001,1.120586069,LIVER
MitoDLoop,90259,F,8w,24,17.16615105,17.17183876,0.008043642,-10.32313156,-10.26914883,0.053982735,1234.018944,1.043341074,LIVER
MitoDLoop,90267,F,8w,25,16.58104706,16.59228134,0.015889024,-10.16565323,-10.20339966,0.037746429,1179.042214,0.996859227,LIVER
MitoDLoop,90218,M,8w,26,17.25991631,17.24030685,0.0277333,-9.943210602,-9.963481903,0.020271301,998.4053834,0.944736779,LIVER
MitoDLoop,90222,M,8w,27,17.68681335,17.75314713,0.093811467,-9.755052567,-9.695960999,0.059091568,829.4211343,0.784836164,LIVER
MitoDLoop,90223,M,8w,28,17.20462418,17.167099,0.053069964,-10.14749146,-10.13858891,0.00890255,1127.247742,1.066653305,LIVER
MitoDLoop,90225,M,8w,29,17.41821861,17.40723801,0.015528922,-10.07617188,-10.15891171,0.08273983,1143.239303,1.08178525,LIVER
MitoDLoop,90227,M,8w,30,16.96113396,16.97837067,0.024376389,-10.04191399,-10.12826824,0.086354256,1119.212482,1.059049974,LIVER
Mito DLoop,90245,F,Ctrl,1,14.70906353,14.7023201,0.009535978,-11.05907345,-11.03193855,0.027134418,2093.844448,0.927757384,CORTEX
Mito DLoop,90248,F,Ctrl,2,14.47080135,14.51074791,0.056492962,-11.27030468,-11.31892204,0.048617363,2554.671444,1.131944304,CORTEX
Mito DLoop,90252,F,Ctrl,3,15.08366776,15.10982513,0.036991447,-11.06886673,-11.05361557,0.015250683,2125.542765,0.941802529,CORTEX
Mito DLoop,90265,F,Ctrl,4,14.78847504,14.7765522,0.016860763,-10.99617958,-11.1064949,0.110314846,2204.896016,0.976963003,CORTEX
Mito DLoop,90266,F,Ctrl,5,15.09101105,15.09043789,0.000810568,-11.20808792,-11.17085457,0.037233353,2305.485007,1.02153278,CORTEX
Mito DLoop,90217,M,Ctrl,6,16.97108078,16.9361515,0.049397454,-10.53481293,-10.50033092,0.034482002,1448.486903,0.710369827,CORTEX
Mito DLoop,90229,M,Ctrl,7,15.14713764,15.15679836,0.013662322,-11.19831753,-11.09779644,0.100521088,2191.641999,1.074829426,CORTEX
Mito DLoop,90232,M,Ctrl,8,15.26713848,15.27442169,0.010299341,-11.12435436,-11.13149643,0.007142544,2243.439292,1.100231958,CORTEX
Mito DLoop,90237,M,Ctrl,9,15.01283836,14.99946213,0.018917529,-11.00645065,-11.01704216,0.010591984,2072.335915,1.0163191,CORTEX
Mito DLoop,90239,M,Ctrl,10,14.83319378,14.96948814,0.192750007,-11.1795969,-11.12889481,0.050701618,2239.397325,1.098249689,CORTEX
Mito DLoop,90559,F,1w,11,14.68483639,14.57430458,0.156314909,-11.02057171,-11.12854576,0.107973576,2238.855592,0.992010085,CORTEX
Mito DLoop,90560,F,1w,12,15.02149487,15.08431435,0.088840835,-11.16754818,-11.01119232,0.156355381,2063.950023,0.914511523,CORTEX
Mito DLoop,90564,F,1w,13,14.84940338,14.81099319,0.054320883,-11.03321266,-11.04785919,0.014646053,2117.078709,0.938052207,CORTEX
Mito DLoop,90567,F,1w,14,15.02869129,15.06513882,0.051544584,-11.25848866,-11.15648937,0.101999283,2282.642754,1.011411651,CORTEX
Mito DLoop,90571,F,1w,15,14.77569199,14.79656029,0.02951156,-11.23620224,-11.2137146,0.022487164,2375.004612,1.052336084,CORTEX
Mito DLoop,90421,M,1w,16,14.80530548,14.88313293,0.110065311,-10.85330582,-10.8287487,0.024556637,1818.771646,0.891965607,CORTEX
Mito DLoop,90422,M,1w,17,14.82420635,14.80675125,0.024685916,-11.11174488,-11.11149025,0.000254154,2212.543723,1.085080092,CORTEX
Mito DLoop,90423,M,1w,18,14.96562672,14.97207355,0.009117207,-11.16592121,-11.08627319,0.079648018,2174.206408,1.066278629,CORTEX
Mito DLoop,90426,M,1w,19,15.20299244,15.20068073,0.003269247,-10.98179913,-11.04589176,0.064092636,2114.193577,1.036847018,CORTEX
