feature_ID,cluster,ome,tissue,feature_raw,feature,female_1w_before,female_2w_before,female_4w_before,female_8w_before,male_1w_before,male_2w_before,male_4w_before,male_8w_before,female_1w_after,female_2w_after,female_4w_after,female_8w_after,male_1w_after,male_2w_after,male_4w_after,male_8w_after,gene_symbol
ENSRNOG00000006375,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006375,TRNSCRPT;ADRNL;ENSRNOG00000006375,-1.05826546581785,-1.51923427952764,-1.33435455412432,-0.84534109967481,2.74652340009803,0.81345648726422,0.770998810293806,0.257811689395623,1.21618906284539,2.55012584257156,2.34720833938558,4.4177632298148,-1.32404152159576,-0.816836967164253,0.0263287964494552,-1.42373482598073,Vdac1
ENSRNOG00000006593,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000006593,TRNSCRPT;BAT;ENSRNOG00000006593,-0.861836904487314,-1.28213563985337,0.0570079461783969,-0.807282501965713,-0.0370769836695398,0.632741816781847,-1.12011065201081,-5.38328795487673,-1.42855076682493,-1.35354246694422,0.142908207809379,0.484289737078289,0.203307647892246,1.02326562895982,0.185454134043307,-1.42571037532069,Grpel1
ENSRNOG00000006608,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006608,TRNSCRPT;ADRNL;ENSRNOG00000006608,-1.59612414550039,-2.3767398724535,-2.06895171117754,-1.98875873208238,3.4891813007359,1.16415156678252,0.0985440631272901,0.69310861816963,-0.211901767130482,0.296901909313176,0.30307144348201,1.22501971551635,-1.75739853046346,-0.751401708479802,-1.89387883590405,-1.21751572809252,Tmem70
ENSRNOG00000006608,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000006608,TRNSCRPT;BAT;ENSRNOG00000006608,-1.32886976988677,-1.68325230287966,-0.878661550991803,-2.84209273135302,0.470468791219884,0.26810145075151,-0.917115146202187,-6.05212110808829,-2.26053246420403,-1.93478779699042,-1.07829621987346,-1.61842367486207,1.04240942592871,0.908375763605008,1.17145872078391,-1.01147850529165,Tmem70
ENSRNOG00000006779,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006779,TRNSCRPT;ADRNL;ENSRNOG00000006779,-2.08700129809605,-2.51594197130309,-2.3365912838725,-2.23264573572611,3.38079492749775,1.8195786151398,-0.179939317445566,2.14624422454148,-1.22031638483749,-0.0780512764722776,-0.123706583999163,0.548827157846882,0.0529454137974806,0.904422380942593,-1.07493976095701,1.69781266909402,Crot
ENSRNOG00000006858,4,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006858,TRNSCRPT;ADRNL;ENSRNOG00000006858,-2.27548183888603,-3.30738567297985,-2.3888289817531,-2.65640153539873,2.76815736378668,0.162972223933144,0.00155042870143046,-0.211815143615967,-1.56547816368769,-1.34619448077311,-0.109663544018213,0.0814668571247704,-2.60430055828797,-2.64214463761849,-1.7018673520635,-3.0089411983469,Pyurf
ENSRNOG00000006858,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000006858,TRNSCRPT;BAT;ENSRNOG00000006858,0.0204661828165671,0.856994971342097,0.585309012071644,-0.46020159739064,-0.0520331702009579,-0.0173872801481463,-0.612886771915458,-4.80582895121011,-0.252893538331595,1.38095525282005,0.838874013599786,0.897214474765323,0.308664568455211,0.455729440397455,0.998863113670765,-0.691633408425534,Pyurf
ENSRNOG00000006893,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006893,TRNSCRPT;ADRNL;ENSRNOG00000006893,-2.74318681228589,-2.71041084605135,-2.73881252773596,-2.7949379488113,3.98871857435646,1.64280546764806,0.00632538701979024,1.6733624496097,-2.3178907876549,-0.507368015489723,-0.930696341183235,-0.473844601209134,-0.118943003413024,0.480179219658987,-1.22866266857612,0.973131790968861,Ppm1k
ENSRNOG00000006898,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000006898,TRNSCRPT;ADRNL;ENSRNOG00000006898,-2.71840413736167,-3.10241230630984,-2.3177015774791,-2.04642792664453,2.86767626561515,0.496163979770055,0.425435353645632,1.07308615071065,-2.2734064983487,-1.10170088368246,-0.361497496235398,0.606347335267914,-1.59895258753066,-1.52121271235998,-0.644352611407135,0.00538189019410122,Mrps16
ENSRNOG00000006939,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000006939,TRNSCRPT;BAT;ENSRNOG00000006939,0.0240905902468222,-0.724046055328688,0.0529193598962389,-1.73627067496237,-0.720674527147098,-0.375359580667993,-2.26734932185659,-6.12125129352799,-0.349585053062846,-0.619642685907118,0.177700425109521,-0.429112511988128,-0.515254917856749,0.179193006447829,-0.137084488086218,-0.969688023795557,Ndufa7
